"Video ID",Title,Description,Length,Published
OPsPgwPOxos,"High-Res Images of Cities at Night from the International Space Station","Note: population figures in this video are for metropolitan areas. Humans have created thousands of settlements, and we are lucky enough to be able to see some of them from the eyes of ISS astronauts. These images are incredibly difficult to take from a spacecraft traveling along at almost 28,000 kilometers per hour. The images are held at NASA's Johnson Space Center in a special archive for astronaut photography. Watch for the great cities of Mumbai, Rio de Janeiro, Mexico City, Johannesburg, New Delhi, Toronto, Sydney, and many others. All included population numbers are based on estimated metropolitan populations. Original ISS Images - http://www.facebook.com/media/set/?set=a.480445345311309.104035.146729185349595&type=1","5m 9s","2012-11-14T16:43:49Z"
wNKyugxly04,"Hubble Lightness of Being","From Hubblecast and the incomparable Dr. J. We live in a brightly colored world, even if it doesn't always seem that way. But if you hold a prism up to the whitest of lights, you get a rainbow. For scientists, unweaving this rainbow tells them about the properties of the Universe. Hubble's ability to study its colors is at the heart of many of its most important discoveries.","4m 20s","2012-11-13T22:52:06Z"
"-RGNhZ292Zg","Part I: High-Res Images of Cities at Night (from ISS)","City lights broadcast our existence into the night of space. Imagine how the Earth will look to astronauts in a century's time or longer? These images are incredibly difficult to take from a spacecraft traveling along at almost 28,000 kilometers per hour. The images are held at NASA's Johnson Space Center in a special archive for astronaut photography. Watch for the great cities of Beijing, Istanbul, Melbourne, Montreal, London, San Francisco, Los Angeles, Las Vegas, Buenos Aires, Brasilia (one of our favorites), and more.","5m 25s","2012-11-10T03:37:21Z"
pvvgPZKqWJk,"Zombie Planet Returns","From NASA and Bela Lugosi. An enormous alien planet that some astronomers thought was dead and buried has come back to life, a new study suggests. A new analysis of observations from NASA's Hubble Space Telescope found that the bright nearby star Fomalhaut does indeed host a huge exoplanet, which scientists dubbed a ""zombie"" world in an aptly Halloween-themed video on the alien planet. This conclusion contradicts other recent studies, which determined that the so-called planet — known as Fomalhaut b — is actually just a giant dust cloud. ""Given what we know about the behavior of dust and the environment where the planet is located, we think that we're seeing a planetary object that is completely embedded in dust rather than a free-floating dust cloud,"" co-author John Debes, of the Space Telescope Science Institute in Baltimore, said in a statement.","2m 34s","2012-10-27T17:39:28Z"
"lY5gl7-uYZI","Epic New Hawaiian Volcano Activity","Check out this very recent new activity from Hawaii's Kilauea Volcano. Just as the activity is rising, we're learning more about its deeper patterns. A new study finds that a deep connection about 50 miles underground can explain the enigmatic behavior of two of Earth's most notable volcanoes, Hawaii's Mauna Loa and Kilauea. The study, the first to model paired volcano interactions, explains how a link in Earth's upper mantle could account for Kilauea and Mauna Loa's competition for the same deep magma supply and their simultaneous ""inflation,"" or bulging upward, during the past decade. The research offers the first plausible model that can explain both the opposing long-term eruptive patterns at Mauna Loa and Kilauea -- when one is active the other is quiet -- as well as the episode in 2003-2007 when GPS records showed that each bulged notably due to the pressure of rising magma. The study was conducted by scientists at Rice University, the University of Hawaii, the U.S. Geological Survey (USGS) and the Carnegie Institution of Washington. ""We know both volcanoes are fed by the same hot spot, and over the past decade we've observed simultaneous inflation, which we interpret to be the consequence of increased pressure of the magma source that feeds them,"" said lead author Helge Gonnermann, assistant professor of Earth science at Rice University. ""We also know there are subtle chemical differences in the lava that each erupts, which means each has its own plumbing that draws magma from different locations of this deep source. ""In the GPS records, we first see inflation at Kilauea and then about a half a year later at Mauna Loa,"" he said. ""Our hypothesis is that the pressure is transmitted slowly through a partially molten and thereby porous region of the asthenosphere, which would account for the simultaneous inflation and the lag time in inflation. Because changes in pore pressure are transmitted between both volcanoes at a faster rate than the rate of magma flow within the porous region, this can also explain how both volcanoes are dynamically coupled, while being supplied by different parts of the same source region."" Gonnermann said the transmission of pressure through the permeable rock in the asthenosphere is akin to the processes that cause water and oil to flow through permeable layers of rock in shallower regions of Earth's crust. ""When we fitted the deformation, which tells us how much a volcano inflates and deflates, and the lava eruption rate at Kilauea, we found that our model could simultaneously match the deformation signal recorded over on Mauna Loa,"" said James Foster, co-author and assistant researcher at the University of Hawaii School of Ocean and Earth Science and Technology. ""The model also required an increase in the magma supply rate to the deep system that matched very nicely with our interpretations and the increased magma supply suggested by the jump in CO2 emissions that occurred in late 2003."" Mauna Loa and Kilauea, Earth's largest and most active volcanoes, respectively, are located about 22 miles apart in the Hawaii Volcanoes National Park on the island of Hawaii. They are among the planet's most-studied and best-instrumented volcanoes and have been actively monitored by scientists at USGS's Hawaiian Volcano Observatory (HVO) since 1912. Kilauea has erupted 48 times on HVO's watch, with a nearly continuous flank eruption since 1983. Mauna Loa has erupted 12 times in the same period, most recently in 1984.","4m 9s","2012-10-25T21:10:56Z"
"Xu3-0Ubhiwo","The Turbulent Story of Galaxy Evolution","From NASA. A comprehensive study of hundreds of galaxies observed by the Keck telescopes in Hawaii and NASA's Hubble Space Telescope has revealed a surprising pattern to galaxy evolution that extends back 8 billion years, or more than half the age of the universe. Astronomers thought disk galaxies in the nearby universe had settled into their present form by about 8 billion years ago, with little additional development since. The trend observed shows the opposite, that galaxies were steadily changing over this time period. Today, star-forming galaxies take the form of orderly disk-shaped systems, such as the Andromeda Galaxy or the Milky Way, where rotation dominates over other internal motions. The most distant blue galaxies in the study tend to be very different, exhibiting disorganized motions in multiple directions. There is a steady shift toward greater organization to the present time as the disorganized motions dissipate and rotation speeds increase. These galaxies are gradually settling into well-behaved disks. Blue galaxies -- their color indicates stars are forming within them -- show less disorganized motions and ever-faster rotation speeds the closer they are observed to the present. This trend holds true for galaxies of all masses, but the most massive systems always show the highest level of organization. Researchers say the distant blue galaxies they studied are gradually transforming into rotating disk galaxies like our own Milky Way. Rather than limit their sample to certain galaxy types, the researchers instead looked at all galaxies with emission lines bright enough to be used for determining internal motions. Emission lines are the discrete wavelengths of radiation characteristically emitted by the gas within a galaxy. They are revealed when a galaxy's light is separated into its component colors. These emission lines also carry information about the galaxy's internal motions and distance. The team studied a sample of 544 blue galaxies from the Deep Extragalactic Evolutionary Probe 2 (DEEP2) Redshift Survey, a project that employs Hubble and the twin 10-meter telescopes at the W. M. Keck Observatory in Hawaii. Located between 2 billion and 8 billion light-years away, the galaxies have stellar masses ranging from about 0.3 percent to 100 percent of the mass of our home galaxy. The Milky Way galaxy must have gone through the same rough-and-tumble evolution as the galaxies in the DEEP2 sample, and gradually settled into its present state as the Sun and solar system were being formed. In the past 8 billion years, the number of mergers between galaxies large and small has decreased sharply. So has the overall rate of star formation and disruptions of supernova explosions associated with star formation. Scientists speculate these factors may play a role in creating the evolutionary trend they observe. Now that astronomers see this pattern, they can adjust computer simulations of galaxy evolution until these models are able to replicate the observed trend. This will guide scientists to the physical processes most responsible for it.","3m 40s","2012-10-21T19:23:19Z"
Y8DV7WFdTw8,"Earth-sized Planet Found Orbiting the Sun's Nearest Neighbor","European astronomers have discovered a planet with about the mass of the Earth orbiting a star in the Alpha Centauri system — the nearest to Earth. It is also the lightest exoplanet ever discovered around a star like the Sun. Alpha Centauri is one of the brightest stars in the southern skies and is the nearest stellar system to our Solar System — only 4.3 light-years away. It is actually a triple star — a system consisting of two stars similar to the Sun orbiting close to each other, designated Alpha Centauri A and B, and a more distant and faint red component known as Proxima Centauri. Since the nineteenth century astronomers have speculated about planets orbiting these bodies, the closest possible abodes for life beyond the Solar System, but searches of increasing precision had revealed nothing. Until now. The European team detected the planet by picking up the tiny wobbles in the motion of the star Alpha Centauri B created by the gravitational pull of the orbiting planet [2]. The effect is minute — it causes the star to move back and forth by no more than 51 centimetres per second (1.8 km/hour), about the speed of a baby crawling. This is the highest precision ever achieved using this method. Alpha Centauri B is very similar to the Sun but slightly smaller and less bright. The newly discovered planet, with a mass of a little more than that of the Earth [3], is orbiting about six million kilometres away from the star, much closer than Mercury is to the Sun in the Solar System. The orbit of the other bright component of the double star, Alpha Centauri A, keeps it hundreds of times further away, but it would still be a very brilliant object in the planet's skies. The first exoplanet around a Sun-like star was found by the same team back in 1995 and since then there have been more than 800 confirmed discoveries, but most are much bigger than the Earth, and many are as big as Jupiter. The challenge astronomers now face is to detect and characterise a planet of mass comparable to the Earth that is orbiting in the habitable zone around another star. The first step has now been taken.","4m 1s","2012-10-18T16:34:13Z"
GjO0zdXqCU0,"Dark Matter Structure Revealed","From HubbleCast and host Dr. J. Astronomers using the NASA/ESA Hubble Space Telescope have studied a giant filament of dark matter in 3D for the first time. Extending 60 million light-years from one of the most massive galaxy clusters known, the filament is part of the cosmic web that constitutes the large-scale structure of the Universe, and is a leftover of the very first moments after the Big Bang. The theory of the Big Bang predicts that variations in the density of matter in the very first moments of the Universe led the bulk of the matter in the cosmos to condense into a web of tangled filaments. This view is supported by computer simulations of cosmic evolution, which suggest that the Universe is structured like a web, with long filaments that connect to each other at the locations of massive galaxy clusters. However, these filaments, although vast, are made mainly of dark matter, which is incredibly difficult to observe. The first convincing identification of a section of one of these filaments was made earlier this year. Now a team of astronomers has gone further by probing a filament's structure in three dimensions. Seeing a filament in 3D eliminates many of the pitfalls that come from studying the flat image of such a structure. The team combined high resolution images of the region around the massive galaxy cluster MACS J0717.5+3745 (or MACS J0717 for short), taken using Hubble, NAOJ's Subaru Telescope and the Canada-France-Hawaii Telescope, with spectroscopic data on the galaxies within it from the WM Keck Observatory and the Gemini Observatory. Analysing these observations together gives a complete view of the shape of the filament as it extends out from the galaxy cluster almost along our line of sight. Theories of cosmic evolution suggest that galaxy clusters form where filaments of the cosmic web meet, with the filaments slowly funnelling matter into the clusters. Albert Einstein's famous theory of general relativity says that the path of light is bent when it passes through or near objects with a large mass. Filaments of the cosmic web are largely made up of dark matter [2] which cannot be seen directly, but their mass is enough to bend the light and distort the images of galaxies in the background, in a process called gravitational lensing. The team has developed new tools to convert the image distortions into a mass map. Gravitational lensing is a subtle phenomenon, and studying it needs detailed images. Hubble observations let the team study the precise deformation in the shapes of numerous lensed galaxies. This in turn reveals where the hidden dark matter filament is located. Hubble's observations of the cluster give the best two-dimensional map yet of a filament, but to see its shape in 3D required additional observations. Colour images [3], as well as galaxy velocities measured with spectrometers, using data from the Subaru, CFHT, WM Keck, and Gemini North telescopes (all on Mauna Kea, Hawaii), allowed the team to locate thousands of galaxies within the filament and to detect the motions of many of them. A model that combined positional and velocity information for all these galaxies was constructed and this then revealed the 3D shape and orientation of the filamentary structure. As a result, the team was able to measure the true properties of this elusive filamentary structure without the uncertainties and biases that come from projecting the structure onto two dimensions, as is common in such analyses. The results obtained push the limits of predictions made by theoretical work and numerical simulations of the cosmic web. With a length of at least 60 million light-years, the MACS J0717 filament is extreme even on astronomical scales. And if its mass content as measured by the team can be taken to be representative of filaments near giant clusters, then these diffuse links between the nodes of the cosmic web may contain even more mass (in the form of dark matter) than theorists predicted. So much that more than half of all the mass in the Universe may be hidden in these structures.","5m 36s","2012-10-16T14:45:11Z"
"--V1nNO9bow","Light from the Core of the Sun","These exquisite images are a must see at full resolution. Space imagery from NASA's Conceptual Image Lab. An elegant interaction powers the sun, producing the light and energy that makes life possible. That interaction is called fusion, and it naturally occurs when two atoms are heated and compressed so intensely that their nuclei merge into a new element. This process often leads to the creation of a photon, the particles of light that are released from the sun. However, before exiting our star, each photon must first undergo a long journey. Over the course of 40,000 years it will be absorbed by other atoms and emitted repeatedly until reaching the sun's surface. Once there, the photons stream out, illuminating Earth, the solar system and beyond. The number released from the surface every second is so vast that it is more than a billion billion times greater than the number of grains of sand on our planet. This movie takes us on a space weather journey from the center of the sun to solar eruptions in the sun's atmosphere all the way to the effects of that activity near Earth. The view starts in the core of the sun where atoms fuse together to create light and energy. Next we travel toward the sun's surface, watching loops of magnetic fields rise up to break through the sun's atmosphere, the corona. In the corona is where we witness giant bursts of radiation and energy known as solar flares, as well as gigantic eruptions of solar material called coronal mass ejections or CMEs. The movie follows one of these CME's toward Earth where it impacts and compresses Earth's own protective magnetic bubble, the magnetosphere. As energy and particles from the sun funnel along magnetic field lines near Earth, they ultimately produce aurora at Earth's poles.","3m 50s","2012-10-16T02:20:14Z"
oC31pqk9sak,"Why Mars Died, and Earth Lived","Hey Everyone, You can find our 4K UHD content and more great space and science shows on: https://www.magellantv.com/genres/space The Mars rover, Curiosity, is the latest in a long line of missions to Mars: landers sent to scoop its soil and study its rocks, orbiters sent to map its valleys and ridges. They are all asking the same question. Did liquid water once flow on this dry and dusty world? Did it support life in any form? And are there remnants left to find? The science that comes out of these missions may help answer a much larger, more philosophical question. Is our planet Earth the norm, in a galaxy run through with life-bearing planets? Or is Earth a rare gem, with a unique make-up and history that allowed it to give rise to living things? On Mars, Curiosity has spotted pebbles and other rocks commonly associated with flowing water. It found them down stream on what appears to be an ancient river fan, where water flowed down into Gale Crater. This shows that at some point in the past, Mars had an atmosphere, cloudy skies, and liquid water flowing. So what could have turned it into the desolate world we know today? One process that very likely played a role goes by the unscientific name, ""sputtering."" Like the other planets in our solar system, Mars is lashed by high-energy photons from the Sun. When one of these photons enters the atmosphere of a planet, it can crash into a molecule, knocking loose an electron and turning it into an ion. The solar wind brings something else: a giant magnetic field. When part of the field grazes the planet, it can attract ions and launch them out into space. Another part might fling ions right into the atmosphere at up to a thousand kilometers per second. The ions crash into other molecules, sending them in all directions like balls in a game of pool. Over billions of years, this process could have literally stripped Mars of its atmosphere, especially in the early life of the solar system when the solar wind was more intense than it is today. Sputtering has actually been spotted directly on another dead planet, Venus. The Venus Express mission found that solar winds are steadily stripping off lighter molecules of hydrogen and oxygen. They escape the planet on the night side... then ride solar breezes on out into space. This process has left Venus with an atmosphere dominated by carbon dioxide gas... a heat trapping compound that has helped send surface temperatures up to around 400 degrees Celsius. The loss of Venus' atmosphere likely took place over millions of years, especially during solar outbursts known as coronal mass ejections. If these massive blast waves stripped Venus and Mars of an atmosphere capable of supporting life how did Earth avoid the same grim fate? We can see the answer as the solar storm approaches earth. Our planet has what Mars and Venus lack - a powerful magnetic field generated deep within its core. This protective shield deflects many of the high-energy particles launched by the Sun. In fact, that's just our first line of defense. Much of the solar energy that gets through is reflected back to space by clouds, ice, and snow. The energy that earth absorbs is just enough to power a remarkable planetary engine: the climate. It's set in motion by the uneveness of solar heating, due in part to the cycles of day and night, and the seasons. That causes warm, tropical winds to blow toward the poles, and cold polar air toward the equator. Wind currents drive surface ocean currents. This computer simulation shows the Gulf Stream winding its way along the coast of North America. This great ocean river carries enough heat energy to power the industrial world a hundred times over. It breaks down in massive whirlpools that spread warm tropical waters over northern seas. Below the surface, they mix with cold deep currents that swirl around undersea ledges and mountains. Earth's climate engine has countless moving parts: tides and terrain, cross winds and currents -- all working to equalize temperatures around the globe. Over time, earth developed a carbon cycle and an effective means of regulating green house gases. In our galaxy, are still-born worlds like Mars the norm? Or in Earth, has Nature crafted a prototype for its greatest experiment... Life?","9m 32s","2012-10-13T15:28:45Z"
whUx2pyv3gg,"Battle of Giant Windy Stars","From NASA's legendary Scientific Visualization Studio, here's news of one of the nearest and richest stellar associations in our galaxy. Cygnus OB2, located about 4,700 light-years away, hosts some 3,000 hot stars, including about 100 in the O class. Weighing in at more than a dozen times the sun's mass and sporting surface temperatures five to ten times hotter, these ginormous blue-white stars blast their surroundings with intense ultraviolet light and powerful outflows called stellar winds. Two of these stars can be found in the intriguing binary system known as Cygnus OB2 #9. In 2011, NASA's Swift satellite, the European Space Agency's XMM-Newton observatory and several ground-based facilities took part in a campaign to monitor the system as the giant stars raced toward their closest approach. The observations are giving astronomers a more detailed picture of the stars, their orbits and the interaction of their stellar winds. An O-type star is so luminous that the pressure of its starlight actually drives material from its surface, creating particle outflows with speeds of several million miles an hour. Put two of these humongous stars in the same system and their winds can collide during all or part of the orbit, creating both radio emission and X-rays. In 2008, research showed that Cygnus OB2 #9 emitted radio signals that varied every 2.355 years. In parallel, Yael Nazé, an astronomer at the University of Liège in Belgium, detected for the first time a signature in the system's optical spectrum that indicated the presence of two stars. The binary nature of Cygnus OB2 #9 provided a natural explanation for the periodic radio changes. To maximize their chances of catching X-rays from colliding winds, the researchers needed to monitor the system as the stars raced toward their closest approach, or periastron. The first opportunity arose in 2011. NASA's Swift made five sets of X-ray observations during the 10 months around the date of periastron, and XMM-Newton carried out one high-resolution observation near the predicted time of closest approach. The new data indicate that Cygnus OB2 #9 is a massive binary with components of similar mass and luminosity following long, highly eccentric orbits. The most massive star in the system has about 50 times the sun's mass, and its companion is slightly smaller, with about 45 solar masses. At periastron, these stellar titans are separated by less than three times Earth's average distance from the sun. Two sets of measurements taken 5.5 days apart near the time of periastron — one in late June by XMM-Newton and one in early July by Swift — show that the X-ray flux increased by four times when the stars were closest together. This is compelling evidence for the interaction of fierce stellar winds.","2m 20s","2012-10-13T02:12:04Z"
gbsU9CmrkxQ,"Astronomers Spot Sudden Black Hole Flare Up","Astronomers using NASA's Swift satellite recently detected a rise in high-energy X-rays from a source toward the center of our Milky Way galaxy. The outburst, produced by a rare X-ray nova, came from a previously unknown stellar-mass black hole. An X-ray nova is a short-lived X-ray source that appears suddenly, reaches its emission peak in a few days and then fades out over a period of months. The outburst arises when a torrent of stored gas suddenly rushes toward one of the most compact objects known, either a neutron star or a black hole. The rapidly brightening source triggered Swift's Burst Alert Telescope twice on the morning of Sept. 16, and once again the next day. Named Swift J1745-26 after the coordinates of its sky position, the nova is located a few degrees from the center of our galaxy toward the constellation Sagittarius. While astronomers do not know its precise distance, they think the object resides about 20,000 to 30,000 light-years away in the galaxy's inner region. Ground-based observatories detected infrared and radio emissions, but thick clouds of obscuring dust have prevented astronomers from catching Swift J1745-26 in visible light.","2m 8s","2012-10-05T23:39:14Z"
3vbqXlMWKwU,"Giant Telescopes of the Future","Astronomy is big science. It's a vast Universe out there, and the exploration of the cosmos requires huge instruments. This is the 5-meter Hale reflector on Palomar Mountain. When the European Southern Observatory came into being, fifty years ago, it was the largest telescope in the world. ESO's Very Large Telescope at Cerro Paranal is the state of the art now. As the most powerful observatory in history, it has revealed the full splendor of the Universe in which we live. But astronomers have set their sights on even bigger instruments. And ESO is realizing their dreams. San Pedro de Atacama. Tucked amidst breathtaking scenery and natural wonders, this picturesque town is home to indigenous Atacameños and adventurous backpackers alike. Not far from San Pedro, ESO's first dream machine is taking shape. It's called ALMA -- the Atacama Large Millimeter/submillimeter Array. Close together, the 66 antennas provide a wide-angle view. But spread apart, they reveal much finer detail over a smaller area of sky. At submillimeter wavelengths, ALMA sees the Universe in a different light. But what will it reveal? The birth of the very first galaxies in the Universe, in the wake of the Big Bang. Cold and dusty clouds of molecular gas — the stellar nurseries where new suns and planets are born. And: the chemistry of the cosmos. ALMA will track down organic molecules — the building blocks of life. At 5000 meters above sea level, the array provides an unprecedented view of the microwave Universe. While ALMA is nearly completed, ESO's next dream machine is still a few years away. See that mountain over there? That's Cerro Armazones. Not far from Paranal, it will be home to the largest telescope in the history of mankind. Meet the European Extremely Large Telescope. The world's biggest eye on the sky. Sporting a mirror almost forty meters across, the E- ELT simply dwarfs every telescope that preceded it. Almost eight hundred computer-controlled mirror segments. Complex optics to provide the sharpest possible images. A dome as tall as a church steeple. The E-ELT is an exercise in superlatives. But the real wonder, or course, is in the Universe out there. The E-ELT will reveal planets orbiting other stars. Its spectrographs will sniff the atmospheres of these alien worlds, looking for bio-signatures. Further away, the E-ELT will study individual stars in other galaxies. It's like meeting the inhabitants of neighboring cities for the first time. Working as a cosmic time machine, the giant telescope lets us look back billions of years, to learn how everything began. And it may solve the riddle of the accelerating Universe — the mysterious fact that galaxies are pushed away from each other faster and faster.","6m 32s","2012-10-05T17:16:19Z"
P2u277ulwxI,"Curiosity Finds River Rocks and River Beds on Mars","NASA's Curiosity rover mission has found evidence a stream once flowed across the area on Mars where the rover is driving. There is earlier evidence for the presence of water on Mars, but this evidence -- images of rocks containing ancient streambed gravels -- is the first of its kind. Scientists are studying the images of stones cemented into a layer of conglomerate rock. The sizes and shapes of stones offer clues to the speed and distance of a long-ago stream's flow. The sizes and shapes of stones offer clues to the speed and distance of a long-ago stream's flow. ""From the size of gravels it carried, we can interpret the water was moving about 3 feet per second, with a depth somewhere between ankle and hip deep,"" said Curiosity science co-investigator William Dietrich of the University of California, Berkeley. ""Plenty of papers have been written about channels on Mars with many different hypotheses about the flows in them. This is the first time we're actually seeing water-transported gravel on Mars. This is a transition from speculation about the size of streambed material to direct observation of it."" The finding site lies between the north rim of Gale Crater and the base of Mount Sharp, a mountain inside the crater. Earlier imaging of the region from Mars orbit allows for additional interpretation of the gravel-bearing conglomerate. The imagery shows an alluvial fan of material washed down from the rim, streaked by many apparent channels, sitting uphill of the new finds. The rounded shape of some stones in the conglomerate indicates long-distance transport from above the rim, where a channel named Peace Vallis feeds into the alluvial fan. The abundance of channels in the fan between the rim and conglomerate suggests flows continued or repeated over a long time, not just once or for a few years.The discovery comes from examining two outcrops, called ""Hottah"" and ""Link,"" with the telephoto capability of Curiosity's mast camera during the first 40 days after landing. Those observations followed up on earlier hints from another outcrop, which was exposed by thruster exhaust as Curiosity, the Mars Science Laboratory Project's rover, touched down. The gravels in conglomerates at both outcrops range in size from a grain of sand to a golf ball. Some are angular, but many are rounded.""The shapes tell you they were transported and the sizes tell you they couldn't be transported by wind. They were transported by water flow,"" said Curiosity science co-investigator Rebecca Williams of the Planetary Science Institute in Tucson, Ariz.The science team may use Curiosity to learn the elemental composition of the material, which holds the conglomerate together, revealing more characteristics of the wet environment that formed these deposits. The stones in the conglomerate provide a sampling from above the crater rim, so the team may also examine several of them to learn about broader regional geology.The slope of Mount Sharp in Gale Crater remains the rover's main destination. Clay and sulfate minerals detected there from orbit can be good preservers of carbon-based organic chemicals that are potential ingredients for life.","4m 42s","2012-10-01T12:11:38Z"
GVds0q0y5RM,"Black Hole Merger Simulation","From NASA's Scientific Visualization Studio. Supercomputer models of merging black holes reveal properties that are crucial to understanding future detections of gravitational waves. This movie follows two orbiting black holes and their accretion disk during their final three orbits and ultimate merger. Redder colors correspond to higher gas densities. The initial magnetic field of the gas is amplified by 100 times. Magnetic fields evacuate the region above the black hole and produce a thinner, hotter, denser disk in the immediate vicinity of the black hole than in simulations without them. The merged black hole resides within a hot, dense disk of ionized gas. The base of the low-density funnel is visible near the center. Such a structure could support a jet of particles moving near the speed of light, although one was not yet produced before the simulation ended. This model, which includes the effects of general relativity, magnetic fields and gas dynamics, produced an electromagnetic signal 10,000 brighter than in simulations that ignored the gas effects. The sequence ends with a simulation of the merger of two black holes and the resulting emission of gravitational radiation. The colored fields represent a component of the curvature of space-time. The outer red sheets correspond directly to the outgoing gravitational radiation that one day may be detected by gravitational-wave observatories. The brighter yellow areas near the black holes do not correspond to physical structures but generally indicate where the strong non-linear gravitational-field interactions are in play. Such outgoing gravitational radiation one day may be detected by gravitational-wave observatories.","1m 57s","2012-09-30T21:28:06Z"
"xp-8HysWkxw","The Largest Black Holes in the Universe","For more 4K space, and more great History and Science than you'll ever watch, check out our sister network... https://www.magellantv.com/featured Our Milky Way may harbor millions of black holes... the ultra dense remnants of dead stars. But now, in the universe far beyond our galaxy, there's evidence of something far more ominous. A breed of black holes that has reached incomprehensible size and destructive power. Just how large, and violent, and strange can they get? A new era in astronomy has revealed a universe long hidden to us. High-tech instruments sent into space have been tuned to sense high-energy forms of light -- x-rays and gamma rays -- that are invisible to our eyes and do not penetrate our atmosphere. On the ground, precision telescopes are equipped with technologies that allow them to cancel out the blurring effects of the atmosphere. They are peering into the far reaches of the universe, and into distant caldrons of light and energy. In some distant galaxies, astronomers are now finding evidence that space and time are being shattered by eruptions so vast they boggle the mind. We are just beginning to understand the impact these outbursts have had on the universe: On the shapes of galaxies, the spread of elements that make up stars and planets, and ultimately the very existence of Earth. The discovery of what causes these eruptions has led to a new understanding of cosmic history. Back in 1995, the Hubble space telescope was enlisted to begin filling in the details of that history. Astronomers selected tiny regions in the sky, between the stars. For days at a time, they focused Hubble's gaze on remote regions of the universe. These hubble Deep Field images offered incredibly clear views of the cosmos in its infancy. What drew astronomers' attention were the tiniest galaxies, covering only a few pixels on Hubble's detector. Most of them do not have the grand spiral or elliptical shapes of large galaxies we see close to us today. Instead, they are irregular, scrappy collections of stars. The Hubble Deep Field confirmed a long-standing idea that the universe must have evolved in a series of building blocks, with small galaxies gradually merging and assembling into larger ones. ABOUT US Here at SpaceRip, we value the exploration of the unknown. We surpass boundaries for the sake of uncovering the mysteries of the cosmos and what they may tell us about our origin and our future. With our videos, we hope to educate our viewers on how we fit into the universe, and more so how we can do our part to better it. We have partnered with MagellanTV with the goal of providing our viewers with insight regarding our uncertain future on Earth and beyond. Equipped with knowledge, we hope to inspire people to enact change and pave the way for a better tomorrow.","24m 59s","2012-09-26T16:43:59Z"
jsGR6QDX7xY,"The Most Powerful Objects in the Universe","For more 4K space, and more great History and Science than you'll ever watch, check out our sister network... https://www.magellantv.com/featured All across the immense reaches of time and space, energy is being exchanged, transferred, released, in a great cosmic pinball game we call our universe. How does energy stitch the cosmos together, and how do we fit within it? We now climb the power scales of the universe, from atoms, nearly frozen to stillness, to Earth's largest explosions. From stars, colliding, exploding, to distant realms so strange and violent they challenge our imaginations. Where will we find the most powerful objects in the universe? Today, energy is very much on our minds as we search for ways to power our civilization and serve the needs of our citizens. But what is energy? Where does it come from? And where do we stand within the great power streams that shape time and space? Energy comes from a Greek word for activity or working. In physics, it's simply the property or the state of anything in our universe that allows it to do work. Whether it's thermal, kinetic, electromagnetic, chemical, or gravitational. The 19th-century German scientist Hermann von Helmholtz found that all forms of energy are equivalent, that one form can be transformed into any other. The laws of physics say that in a closed system - such as our universe - energy is conserved. It may be converted, concentrated, or dissipated, but it's never lost. James Prescott Joule built an apparatus that demonstrated this principle. It had a weight that when descended into water caused a paddle to rotate. He showed that the gravitational energy lost by the weight is equivalent to heat gained by the water from friction with the paddle. That led to one of several basic energy yardsticks, called a joule. It's the amount needed to lift an apple weighing 100 grams one meter against the pull of Earth's gravity. In case you were wondering, it takes about one hundred joules to send a tweet, so tweeted a tech from Twitter. The metabolism of an average-sized person, going about their day, generates about 100 joules a second, or 100 watts, the equivalent of a 100-watt light bulb. In vigorous exercise, the power output of the body goes up by a factor of ten, one order of magnitude, to around a thousand joules per second, or a thousand watts. In a series of leaps, by additional factors of ten, we can explore the full energy spectrum of the universe. ABOUT US Here at SpaceRip, we value the exploration of the unknown. We surpass boundaries for the sake of uncovering the mysteries of the cosmos and what they may tell us about our origin and our future. With our videos, we hope to educate our viewers on how we fit into the universe, and more so how we can do our part to better it. We have partnered with MagellanTV with the goal of providing our viewers with insight regarding our uncertain future on Earth and beyond. Equipped with knowledge, we hope to inspire people to enact change and pave the way for a better tomorrow.","25m 7s","2012-09-23T19:02:00Z"
