##2007
2fRccWTrJd4,Not Without My Brother! | Dogtown,3m 28s,2007-12-28T20:58:07Z
b29-BgRQkxU,Machine Guns | National Geographic,3m 4s,2007-06-07T19:58:46Z
acSKE1FkkpI,Sex Change | National Geographic,3m 48s,2007-06-07T19:24:07Z
wplwIDKwcz8,FBI Takedown | Explorer,3m 12s,2007-06-07T18:56:18Z
2AS6pAWR9n4,Tanner | Dangerous Jobs,3m 34s,2007-06-07T18:35:05Z
2PpnmAaytmo,Hollywood Shootout | National Geographic,3m 33s,2007-06-07T18:25:33Z
p245IE6_qf8,Bee Therapy | National Geographic,3m 39s,2007-06-07T17:43:06Z
7MTy6NRWrmw,Dancing on Knives | National Geographic,3m 59s,2007-06-07T16:25:38Z
HJ4xmD1grOM,Shark Battleground: The Red Triangle | National Geographic,4m 37s,2007-05-31T17:30:21Z
eJMUtCCktdc,Cheetah Jumps Gazelle | National Geographic,37s,2007-05-31T17:11:39Z
mx-cD2NQ-64,Dino Meteor | National Geographic,3m 43s,2007-05-31T17:08:07Z
5B3Abpv0ysM,Girl's Rite of Passage | National Geographic,4m 40s,2007-05-31T16:58:43Z
6Xt6NWkgydM,Maggot Medicine | National Geographic,3m 33s,2007-05-31T16:54:09Z
fpXKrF08eyE,Whale Attack | National Geographic,3m 56s,2007-05-31T16:50:50Z
w86yFIHFGbY,Clinton Impeachment | National Geographic,2m 46s,2007-05-31T16:50:22Z
zZ8AEokTxJI,Corpse Family | National Geographic,4m 12s,2007-05-31T16:38:29Z
gEl6TXrkZnk,Blood Squirting Lizard | National Geographic,1m 51s,2007-05-31T16:10:41Z
YW017qv0aJI,Inside the Green Berets: Under Attack | National Geographic,5m 31s,2007-05-29T18:17:11Z
43VoMesUd2Q,Tornado Destruction | National Geographic,1m 23s,2007-05-29T17:51:06Z
VzqRicgKPA0,Let There Be Light | National Geographic,3m 30s,2007-05-29T17:46:33Z
JdobVMsU1DI,Mob Boss Rivalry | National Geographic,3m 52s,2007-05-29T17:29:27Z
qnlr-lrlPzw,Boomslang vs. Chameleon | National Geographic,1m 43s,2007-05-29T17:10:06Z
1ZA-OE-_4Qc,Man-Eating Croc | National Geographic,2m 22s,2007-05-29T16:37:27Z
FDw0NdhK6QU,Anaconda vs. Mammal | National Geographic,2m 48s,2007-05-29T16:15:07Z
ps8g86khGFE,Dog vs. Chicken | Dog Whisperer,3m 20s,2007-05-24T19:31:55Z
9Isbl-N_uDM,Rabid Vampires | National Geographic,3m 13s,2007-05-24T17:41:58Z
jTnrm338_KY,Komodo Dragons | National Geographic,2m 26s,2007-05-24T16:53:56Z
RIIJ990jUfU,Sworn Virgins | National Geographic,3m 53s,2007-05-24T16:53:05Z
cvFTXunY6mY,Island Volcano Menace | National Geographic,3m 41s,2007-05-24T16:50:02Z
Br373JIsQWY,Man Fights Bear | National Geographic,3m 5s,2007-05-24T16:48:59Z
TBROuvxPDSY,Final Question | National Geographic Bee 2007,3m 34s,2007-05-23T17:41:15Z
DxVMnJXWvdM,Polar Bear Attacks Seal | National Geographic,1m 4s,2007-05-22T20:55:40Z
zyJV1OfEZUw,Mouse vs Boa | National Geographic,1m 23s,2007-05-22T20:42:22Z
Pa4v5gH3b18,The Search for King Arthur | National Geographic,3m 29s,2007-05-22T15:43:51Z
0LmyyXcE6rw,Giant Tarantula | National Geographic,1m 56s,2007-05-22T00:11:33Z
GzWs5Du4-TM,NG Logo | National Geographic,6s,2007-05-21T21:27:08Z
EDSlCRaW0_g,Eating Dog | National Geographic,3m 36s,2007-05-21T18:51:01Z
Gu0OOMpdvew,Most Dangerous Roads | National Geographic,3m 8s,2007-05-21T18:07:22Z
p9A-oxUMAy8,Shark vs Octopus | National Geographic,2m 46s,2007-05-18T19:38:10Z
f5GXTEe8_hw,Speed Boat Racers | National Geographic,2m 40s,2007-05-18T19:36:31Z
L8VjH4iF3Q0,Inside the Green Berets: Ambush | National Geographic,3m 11s,2007-05-18T19:35:59Z
azWRiwAmGRM,Bull Parts | Rare Foods,3m 39s,2007-05-18T19:24:32Z
wjE7egjpoNU,Vegas Mafia | National Geographic,3m 23s,2007-05-18T19:04:27Z
d4yjrDSvze0,Multiple Husbands | National Geographic,4m 10s,2007-05-18T18:55:58Z
FEeMT3lP4G8,Lost Kings of the Bible | National Geographic,3m 35s,2007-05-18T18:46:50Z
SCAIedFgdY0,Octopus Escape | National Geographic,1m 43s,2007-05-18T18:33:41Z
JlTGEPP6evo,Killer Lakes | National Geographic,2m 58s,2007-05-18T18:06:54Z
g_JFNH_PDgo,Mystery of the Romanovs | National Geographic,3m 44s,2007-05-18T18:06:39Z
bLrUQHE6XgU,Green Bathroom Makeover | National Geographic,3m 25s,2007-05-18T17:52:46Z
2_x8oRSVfCQ,Bull Sharks Upriver | National Geographic,4m 49s,2007-05-18T17:46:48Z
eE8-u-LCWsg,Atmosphere: Arctic Abyss | National Geographic,4m 20s,2007-05-18T17:06:45Z
8wpyS4DkIN0,Prison Predators | National Geographic,2m 41s,2007-05-18T16:39:24Z
TriOIvvl2yI,Bear Attack | National Geographic,2m 46s,2007-05-18T16:37:17Z
6nw2cEXqAaw,Monster Crocs | National Geographic,4m 43s,2007-05-18T16:36:30Z
hWQu279Jcr8,Gabon: The Last Eden | National Geographic,3m 23s,2007-05-18T15:58:37Z
oJAbATJCugs,Global Warming 101 | National Geographic,3m 4s,2007-05-18T15:23:22Z
YzDJc7zZHaA,Firehouse Mascot | Dog Whisperer,3m 26s,2007-05-18T15:04:06Z
qyrS7TQnoAo,Umbanda Religion | National Geographic,4m 7s,2007-05-18T12:38:50Z
